timestamp,dvol,lee_mykland_jump,lee_mykland_jump_standard,T_statistic,L_statistic
2024-01-13 06:00:00,55.88,0,0,-13.25940474694703,-0.40617733144634494
2024-01-13 07:00:00,55.13,0,0,-8.486071688647126,-1.704103165032939
2024-01-13 08:00:00,54.76,0,0,-11.639961586628344,-0.8465231208833324
2024-01-13 09:00:00,54.99,0,0,-12.816015154460166,0.5267402168355121
2024-01-13 10:00:00,55.54,0,0,-10.158319986370866,1.24939903287253
2024-01-13 11:00:00,55.64,0,0,-13.923224799501305,0.22567679135416202
2024-01-13 12:00:00,55.08,0,0,-10.089335134548952,-1.2681568317129268
2024-01-13 13:00:00,55.4,0,0,-12.082236617016283,0.7262632981390007
2024-01-13 14:00:00,55.24,0,0,-13.41895637890358,-0.36279335166156457
2024-01-13 15:00:00,54.55,0,0,-8.956768875380195,-1.5761150211100894
2024-01-13 16:00:00,54.9,0,0,-11.81122812753867,0.7999537185052589
2024-01-13 17:00:00,54.85,0,0,-14.334099995036354,-0.11395495586698567
2024-01-13 18:00:00,54.77,0,0,-14.081709746271606,-0.1825828559142087
2024-01-13 19:00:00,54.67,0,0,-13.911259801759996,-0.22893021605291544
2024-01-13 20:00:00,54.84,0,0,-13.322794143200689,0.38894100329404463
2024-01-13 21:00:00,54.85,0,0,-14.669141041295674,0.022853324377911644
2024-01-13 22:00:00,54.89,0,0,-14.416405179807748,0.09157520062087696
2024-01-13 23:00:00,55.07,0,0,-13.240208924702571,0.41139690302949633
2024-01-14 00:00:00,55.06,0,0,-14.669256778242373,-0.02282185413035395
2024-01-14 01:00:00,55.01,0,0,-14.333212854206723,-0.11419617997323268
2024-01-14 02:00:00,54.75,0,0,-12.560119974767389,-0.5963211491436032
2024-01-14 03:00:00,54.85,0,0,-13.90762835211779,0.22991765025170754
2024-01-14 04:00:00,55.59,0,0,-8.5475075887946,1.6873980156253565
2024-01-14 05:00:00,55.58,0,0,-14.669868202449226,-0.02265560064171941
2024-01-14 06:00:00,55.53,0,0,-14.336215475332473,-0.1133797317011372
2024-01-14 07:00:00,55.32,0,0,-12.997263018107933,-0.4774567745033724
2024-01-14 08:00:00,55.63,0,0,-12.164991009218761,0.7037613980682341
2024-01-14 09:00:00,55.45,0,0,-13.252466585210085,-0.4080638998558813
2024-01-14 10:00:00,55.54,0,0,-13.9986140017267,0.20517757373269685
2024-01-14 11:00:00,55.39,0,0,-13.492975411002112,-0.34266669953727846
2024-01-14 12:00:00,55.61,0,0,-12.906250576386133,0.5022041361154266
2024-01-14 13:00:00,55.54,0,0,-14.165971403183391,-0.15967111270440879
2024-01-14 14:00:00,56.16,0,0,-9.579369446419905,1.406822546587891
2024-01-14 15:00:00,55.95,0,0,-13.009862076331858,-0.4740309412443129
2024-01-14 16:00:00,55.82,0,0,-13.670320243357363,-0.2944445376735205
2024-01-14 17:00:00,55.78,0,0,-14.419490323150523,-0.09073631357989395
2024-01-14 18:00:00,55.89,0,0,-13.836003544180317,0.24939328444950953
2024-01-14 19:00:00,56.09,0,0,-13.086820944552953,0.45310491283444526
2024-01-14 20:00:00,56.21,0,0,-13.756493364784117,0.2710130446068256
2024-01-14 21:00:00,56.01,0,0,-13.09126436756542,-0.45189669345251743
2024-01-14 22:00:00,56.15,0,0,-13.587069372105075,0.3170814362823555
2024-01-14 23:00:00,56.87,0,0,-8.792162466467483,1.6208734546600458
2024-01-15 00:00:00,56.83,0,0,-14.42348572751995,-0.08964991577706603
2024-01-15 01:00:00,56.64,0,0,-13.183283657458087,-0.42687555788932535
2024-01-15 02:00:00,56.52,0,0,-13.758498153638751,-0.27046791875586645
2024-01-15 03:00:00,56.14,0,0,-11.590343954223451,-0.8600147432179049
2024-01-15 04:00:00,55.9,0,0,-12.746293851599262,-0.5456982654420578
2024-01-15 05:00:00,56.02,0,0,-13.7474761731032,0.2734649258994405
2024-01-15 06:00:00,55.78,0,0,-12.738852505566895,-0.5477216556254167
2024-01-15 07:00:00,55.76,0,0,-14.58489984359327,-0.04575950448619159
2024-01-15 08:00:00,56.02,0,0,-12.568132792784207,0.5941423689544078
2024-01-15 09:00:00,57.45,1,0,-2.9182433154645215,3.2180616913428537
2024-01-15 10:00:00,57.21,0,0,-12.793073729600408,-0.532978262163816
2024-01-15 11:00:00,56.92,0,0,-12.37556762883118,-0.6465031193757268
2024-01-15 12:00:00,56.86,0,0,-14.25985615244442,-0.13414273662895218
2024-01-15 13:00:00,56.66,0,0,-13.105059043600322,-0.4481457575398168
2024-01-15 14:00:00,56.12,0,0,-10.278083674588698,-1.2168338665694485
2024-01-15 15:00:00,55.85,0,0,-12.50356743397659,-0.6116984552630045
2024-01-15 16:00:00,55.46,0,0,-11.488825241037636,-0.8876188845646364
2024-01-15 17:00:00,55.42,0,0,-14.417140675987286,-0.09137521049233048
2024-01-15 18:00:00,55.72,0,0,-12.236219838071074,0.6843934352769551
2024-01-15 19:00:00,55.83,0,0,-13.833266944883144,0.2501373982334407
2024-01-15 20:00:00,55.77,0,0,-14.251465974178691,-0.13642412554241848
2024-01-15 21:00:00,55.86,0,0,-14.000718922981621,0.2046052206952995
2024-01-15 22:00:00,55.82,0,0,-14.418874893880663,-0.09090365609262865
2024-01-15 23:00:00,55.96,0,0,-13.58351134249615,0.31804890670390035
2024-01-16 00:00:00,55.75,0,0,-12.994009569981987,-0.4783414256097013
2024-01-16 01:00:00,55.46,0,0,-12.303215171724805,-0.666176610006878
2024-01-16 02:00:00,55.32,0,0,-13.565233893757137,-0.32301876164607163
2024-01-16 03:00:00,55.05,0,0,-12.451519453986007,-0.6258509179113659
2024-01-16 04:00:00,54.79,0,0,-12.516813106038967,-0.6080968000374003
2024-01-16 05:00:00,55.75,0,0,-6.547720782988956,2.231163750221973
2024-01-16 06:00:00,55.76,0,0,-14.668424958323985,0.023048035825152587
2024-01-16 07:00:00,56.2,0,0,-11.038192487183057,1.0101512713778964
2024-01-16 08:00:00,56.18,0,0,-14.584945801044585,-0.045747008110477085
2024-01-16 09:00:00,55.8,0,0,-11.544588401693566,-0.8724562202598853
2024-01-16 10:00:00,54.24,1,0,-1.4489098426753595,-3.6175908775936443
2024-01-16 11:00:00,54.59,0,0,-11.756959506000351,0.8147099999101863
2024-01-16 12:00:00,54.52,0,0,-14.155539898274277,-0.1625075625266526
2024-01-16 13:00:00,55.03,0,0,-10.38040155926094,1.1890124210235267
2024-01-16 14:00:00,55.95,0,0,-7.005195350219099,2.106770993260587
2024-01-16 15:00:00,55.31,0,0,-9.417233375053364,-1.4509092660798315
2024-01-16 16:00:00,55.1,0,0,-12.99188304270035,-0.4789196535818443
2024-01-16 17:00:00,54.82,0,0,-12.39593580604238,-0.6409647705820007
2024-01-16 18:00:00,55.03,0,0,-12.985250273746232,0.48072318207411907
2024-01-16 19:00:00,55.04,0,0,-14.669146314684129,0.022851890481088592
2024-01-16 20:00:00,55.04,0,0,-14.753187853464976,0.0
2024-01-16 21:00:00,55.62,0,0,-9.898864316520806,1.3199481046544284
2024-01-16 22:00:00,55.38,0,0,-12.742639385833131,-0.546691957997739
2024-01-16 23:00:00,55.16,0,0,-12.885466593588301,-0.5078555473764149
2024-01-17 00:00:00,54.93,0,0,-12.785275013443123,-0.5350988255198025
2024-01-17 01:00:00,54.85,0,0,-14.062368721659373,-0.18784190974214163
2024-01-17 02:00:00,54.63,0,0,-12.834550399009029,-0.5217002641571663
2024-01-17 03:00:00,54.26,0,0,-11.510372671948,-0.8817598827132248
2024-01-17 04:00:00,53.15,0,0,-4.945891742511385,-2.666720051706109
2024-01-17 05:00:00,52.95,0,0,-12.969821677370147,-0.48491840029332095
2024-01-17 06:00:00,52.87,0,0,-14.037239207904745,-0.19467492237487447
2024-01-17 07:00:00,52.84,0,0,-14.480992476601486,-0.07401314911383738
2024-01-17 08:00:00,52.63,0,0,-12.832375155200102,-0.5222917387304826
2024-01-17 09:00:00,52.51,0,0,-13.651533137579062,-0.2995529744052885
2024-01-17 10:00:00,52.14,0,0,-11.34020669347603,-0.9280300291200989
2024-01-17 11:00:00,52.42,0,0,-12.170405761043138,0.7022890628698553
2024-01-17 12:00:00,52.42,0,0,-14.753187853464976,0.0
2024-01-17 13:00:00,52.2,0,0,-12.714142311152425,-0.554440650359656
2024-01-17 14:00:00,52.17,0,0,-14.474360347259106,-0.07581650368809978
2024-01-17 15:00:00,52.29,0,0,-13.638835871500971,0.3030055115438858
2024-01-17 16:00:00,52.11,0,0,-13.081128074357133,-0.4546528717143647
2024-01-17 17:00:00,52.05,0,0,-14.193031088982766,-0.15231326341570836
2024-01-17 18:00:00,52.06,0,0,-14.659572703540587,0.02545506882044827
2024-01-17 19:00:00,51.96,0,0,-13.816225448100576,-0.2547711831897654
2024-01-17 20:00:00,51.65,0,0,-11.838381853886544,-0.7925702984768229
2024-01-17 21:00:00,51.35,0,0,-11.919465793538853,-0.7705226142531723
2024-01-17 22:00:00,50.91,0,0,-10.575434084273867,-1.1359807658860872
2024-01-17 23:00:00,50.79,0,0,-13.603428733517744,-0.3126331320179881
2024-01-18 00:00:00,50.4,0,0,-10.953198673358237,-1.0332620967301036
2024-01-18 01:00:00,50.42,0,0,-14.557129608179919,0.053310560636588775
